obj_combo,geoscore,att_type,att_score,total_score
"('yellow_foam.ply', 'screwdriver_small.ply')",0.9382714,pierce,0.001774056,0.001774056
"('screwdriver_small.ply', 'pliers.ply')",1.177484,grasp,0.02404271,0.02404271
"('yellow_foam.ply', 'pliers.ply')",1.288064,grasp,0.02684827,0.02684827
"('red_bowl.ply', 'pliers.ply')",0.8501853,grasp,0.03959542,0.03959542
"('yellow_foam.ply', 'red_bowl.ply')",1.36622,None,inf,inf
"('pliers.ply', 'screwdriver_small.ply')",0.610948,pierce,0.001774056,inf
"('red_bowl.ply', 'screwdriver_small.ply')",0.4774601,pierce,0.001774057,inf
"('red_bowl.ply', 'yellow_foam.ply')",0.6571509,None,inf,inf
"('pliers.ply', 'red_bowl.ply')",1.048921,None,inf,inf
"('screwdriver_small.ply', 'yellow_foam.ply')",1.023122,None,inf,inf
"('pliers.ply', 'yellow_foam.ply')",0.7746372,None,inf,inf
"('screwdriver_small.ply', 'red_bowl.ply')",1.233925,None,inf,inf
