obj_combo,geoscore,att_type,att_score,material_score,total_score
"('red_flat_piece_2mag.ply', 'pliers.ply')",58.41876,grasp,0.29337,0,58.71213
"('wood_wheel.ply', 'pliers.ply')",58.59162,grasp,0.2459567,0,58.8375767
"('wood_wheel.ply', 'pliers.ply')",58.59162,grasp,0.2477735,0,58.8393935
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",58.64237,magnetic,0.2890261,0,58.9313961
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",58.64237,magnetic,0.3084956,0,58.9508656
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",58.64237,magnetic,0.3324963,0,58.9748663
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",58.64237,magnetic,0.3519658,0,58.9943358
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",59.3199,magnetic,0.2767672,0,59.5966672
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",59.3199,magnetic,0.3045706,0,59.624470599999995
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",59.3199,magnetic,0.3326076,0,59.6525076
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",59.3199,magnetic,0.360411,0,59.680310999999996
"('red_flat_piece_2mag.ply', 'wood_wheel.ply')",58.31633,None,inf,0,inf
"('wood_wheel.ply', 'red_flat_piece_2mag.ply')",59.21218,None,inf,0,inf
"('red_cylinder_magnetic.ply', 'pliers.ply')",58.61637,None,inf,0,inf
"('red_cylinder_magnetic.ply', 'wood_wheel.ply')",58.62165,None,inf,0,inf
"('red_cylinder_magnetic.ply', 'wood_wheel.ply')",58.62165,None,inf,0,inf
"('pliers.ply', 'wood_wheel.ply')",58.34333,None,inf,0,inf
"('red_cylinder_magnetic.ply', 'wood_wheel.ply')",58.62165,None,inf,0,inf
"('wood_wheel.ply', 'red_cylinder_magnetic.ply')",58.67846,None,inf,0,inf
"('wood_wheel.ply', 'red_flat_piece_2mag.ply')",59.21218,None,inf,0,inf
"('pliers.ply', 'red_flat_piece_2mag.ply')",59.06111,None,inf,0,inf
"('pliers.ply', 'red_cylinder_magnetic.ply')",58.44606,None,inf,0,inf
"('red_flat_piece_2mag.ply', 'wood_wheel.ply')",58.31633,None,inf,0,inf
"('wood_wheel.ply', 'red_cylinder_magnetic.ply')",58.67846,None,inf,0,inf
"('pliers.ply', 'red_flat_piece_2mag.ply')",59.06111,None,inf,0,inf
"('pliers.ply', 'red_cylinder_magnetic.ply')",58.44606,None,inf,0,inf
"('red_flat_piece_2mag.ply', 'wood_wheel.ply')",58.31633,None,inf,0,inf
"('wood_wheel.ply', 'red_flat_piece_2mag.ply')",59.21218,None,inf,0,inf
"('red_cylinder_magnetic.ply', 'pliers.ply')",58.61637,None,inf,0,inf
"('wood_wheel.ply', 'red_cylinder_magnetic.ply')",58.67846,None,inf,0,inf
"('pliers.ply', 'red_flat_piece_2mag.ply')",59.06111,None,inf,0,inf
"('pliers.ply', 'red_cylinder_magnetic.ply')",58.44606,None,inf,0,inf
