action_part,grasp_part,attachment,geo_score,att_score
red_flat_piece_2mag.ply,screwdriver_large.ply,pierce,3.773860e-01,1.011135e-03
red_flat_piece_2mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,1.934358e-01
red_flat_piece_2mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,1.179257e-01
red_flat_piece_2mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,1.419624e-01
red_flat_piece_2mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,6.645233e-02
pliers.ply,screwdriver_large.ply,pierce,6.274171e-01,1.011135e-03
red_flat_piece_2mag.ply,pliers.ply,grasp,6.464050e-01,1.130934e-01
pliers.ply,red_cylinder_magnetic.ply,None,8.034880e-01,Inf
pliers.ply,red_cylinder_magnetic.ply,None,8.034880e-01,Inf
pliers.ply,red_cylinder_magnetic.ply,None,8.034880e-01,Inf
red_cylinder_magnetic.ply,screwdriver_large.ply,pierce,9.869521e-01,1.011135e-03
screwdriver_large.ply,red_cylinder_magnetic.ply,None,1.329032e+00,Inf
screwdriver_large.ply,red_cylinder_magnetic.ply,None,1.329032e+00,Inf
screwdriver_large.ply,red_cylinder_magnetic.ply,None,1.329032e+00,Inf
red_cylinder_magnetic.ply,pliers.ply,None,1.353288e+00,Inf
red_cylinder_magnetic.ply,pliers.ply,None,1.353288e+00,Inf
screwdriver_large.ply,pliers.ply,grasp,1.495469e+00,1.983264e-02
pliers.ply,red_flat_piece_2mag.ply,None,1.527450e+00,Inf
pliers.ply,red_flat_piece_2mag.ply,None,1.527450e+00,Inf
pliers.ply,red_flat_piece_2mag.ply,None,1.527450e+00,Inf
red_cylinder_magnetic.ply,red_flat_piece_2mag.ply,magnetic,1.761099e+00,1.935778e-01
red_cylinder_magnetic.ply,red_flat_piece_2mag.ply,magnetic,1.761099e+00,1.421069e-01
red_cylinder_magnetic.ply,red_flat_piece_2mag.ply,magnetic,1.761099e+00,1.176583e-01
red_cylinder_magnetic.ply,red_flat_piece_2mag.ply,magnetic,1.761099e+00,6.618743e-02
screwdriver_large.ply,red_flat_piece_2mag.ply,None,1.882598e+00,Inf
screwdriver_large.ply,red_flat_piece_2mag.ply,None,1.882598e+00,Inf
screwdriver_large.ply,red_flat_piece_2mag.ply,None,1.882598e+00,Inf
