obj_combo,geoscore,att_type,att_score,material_score,total_score
"('red_flat_piece_2mag.ply', 'tongs.ply')",0.3648049,grasp,0.1130937,0,0.4778986
"('purple_foam.ply', 'tongs.ply')",0.7020033,grasp,0.03600955,0,0.73801285
"('red_flat_piece_2mag.ply', 'purple_foam.ply')",0.70536,None,inf,0,inf
"('purple_foam.ply', 'red_foam.ply')",1.179816,None,inf,0,inf
"('purple_foam.ply', 'red_flat_piece_2mag.ply')",1.859673,None,inf,0,inf
"('red_foam.ply', 'tongs.ply')",0.7356542,None,inf,0,inf
"('tongs.ply', 'red_flat_piece_2mag.ply')",1.942555,None,inf,0,inf
"('purple_foam.ply', 'red_flat_piece_2mag.ply')",1.859673,None,inf,0,inf
"('red_foam.ply', 'purple_foam.ply')",1.079143,None,inf,0,inf
"('tongs.ply', 'red_flat_piece_2mag.ply')",1.942555,None,inf,0,inf
"('tongs.ply', 'red_flat_piece_2mag.ply')",1.942555,None,inf,0,inf
"('tongs.ply', 'purple_foam.ply')",1.460555,None,inf,0,inf
"('red_foam.ply', 'red_flat_piece_2mag.ply')",1.911809,None,inf,0,inf
"('red_flat_piece_2mag.ply', 'red_foam.ply')",0.8452015,None,inf,0,inf
"('red_foam.ply', 'tongs.ply')",0.7356542,None,inf,0,inf
"('red_flat_piece_2mag.ply', 'purple_foam.ply')",0.70536,None,inf,0,inf
"('red_flat_piece_2mag.ply', 'purple_foam.ply')",0.70536,None,inf,0,inf
"('red_flat_piece_2mag.ply', 'red_foam.ply')",0.8452015,None,inf,0,inf
"('tongs.ply', 'red_foam.ply')",1.497382,None,inf,0,inf
"('purple_foam.ply', 'red_flat_piece_2mag.ply')",1.859673,None,inf,0,inf
"('red_foam.ply', 'red_flat_piece_2mag.ply')",1.911809,None,inf,0,inf
"('red_flat_piece_2mag.ply', 'red_foam.ply')",0.8452015,None,inf,0,inf
"('red_foam.ply', 'red_flat_piece_2mag.ply')",1.911809,None,inf,0,inf
