action,object1,object2,effect
pierce,"['Meshspatula_1', 'flat', 'Fixed', 'Wood']","['Tablefork_13', 'line', 'Fixed', 'Metal']",None
pierce,"['Meshspatula_1', 'line', 'Fixed', 'Plastic']","['Spoon_4', 'line', 'Fixed', 'Metal']",None
pierce,"['metal_bowl_small', 'flat', 'Fixed', 'Metal']","['Cube', 'flat', 'Fixed ', 'Foam']",None
pierce,"['Bowl_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Mug_3', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Tablefork_18', 'point', 'Fixed', 'Metal']","['Tablefork_19', 'line', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_19', 'line', 'Fixed', 'Plastic']","['Cuboid_2', 'flat', 'Fixed', 'Foam']",None
pierce,"['Chopstick_2', 'point', 'Fixed', 'Wood']","['ChineseKnife_2', 'flat', 'Fixed', 'Wood']",None
pierce,"['Bottle_8', 'flat', 'Fixed', 'Plastic']","['Pliers', 'point', 'Revolute', 'Metal']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Metal']","['Cuboid_2', 'flat', 'Fixed', 'Foam']",None
pierce,"['rod', 'flat', 'Fixed', 'Wood']","['Chopstick_5', 'point', 'Fixed', 'Wood']",None
pierce,"['ChineseKnife_2', 'line', 'Fixed', 'Metal']","['Tablefork_13', 'point', 'Fixed', 'Metal']",None
pierce,"['Spoon_4', 'line', 'Fixed', 'Metal']","['scissors', 'flat', 'Revolute', 'Metal']",None
pierce,"['Tablefork_19', 'point', 'Fixed', 'Plastic']","['Spatula_1', 'flat', 'Fixed', 'Wood']",None
pierce,"['Cuboid_2', 'flat', 'Fixed', 'Foam']","['Bowl_3', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Pen_1', 'point', 'Fixed', 'Metal']","['Chopstick_7', 'point', 'Fixed', 'Wood']",None
pierce,"['Tablefork_18', 'point', 'Fixed', 'Metal']","['Bowl_3', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Chopstick_7', 'point', 'Fixed', 'Wood']",None
