effect,contact_1,action,material_1,material_2,joint_1
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,3,4,1
1,2,0,3,4,0
1,2,0,1,4,0
1,2,0,1,4,0
1,2,0,3,4,0
1,2,0,0,4,0
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,0,4,0
1,2,0,3,4,0
1,2,0,3,4,1
1,2,0,3,4,1
1,2,0,3,4,0
1,2,0,0,4,0
1,2,0,1,4,0
1,2,0,3,4,1
1,2,0,1,4,0
1,2,0,1,4,0
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,0,4,0
1,2,0,1,4,0
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,1,4,0
1,2,0,3,4,1
1,2,0,3,4,1
1,2,0,3,4,0
1,2,0,1,4,0
1,2,0,1,4,0
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,1,4,0
1,2,0,3,4,0
1,2,0,3,4,1
1,2,0,3,4,1
1,2,0,1,4,0
1,2,0,3,4,0
1,2,0,1,4,0
1,2,0,3,4,0
1,2,0,0,4,0
1,2,0,1,4,0
1,2,0,1,4,0
1,2,0,3,4,1
1,2,0,1,4,0
1,2,0,1,4,0
1,2,0,1,4,0
1,2,0,1,4,0
1,2,0,1,4,0
1,2,0,3,4,1
1,2,0,3,4,0
1,2,0,3,4,0
1,2,0,1,4,0
1,2,0,3,4,0
