Name,Joint,Contact,Feats,,,,,,,,,,
fyingpan_4_3dwh1.ply,fixed,no,-0.0252783192,-0.0272547629,0.0151458614,0.0001259664,-0.013781073,-0.0082783963,-0.005879582,-0.0072434447,0.0033140163,-0.0024550312,0.0028134805
mug_3_3dwh1.ply,fixed,no,-0.0423484112,0.0407624961,-0.0201891381,0.0068782467,-0.0145032912,0.0035484006,0.0050421546,-0.0095750341,0.0059272638,-0.0037256379,-0.0150986368
chineseknife_2_3dwh1.ply,fixed,no,0.0568765693,0.0041262599,-0.0074584654,-0.0248543713,-0.0041966756,0.0042769853,0.0037599583,0.010620847,0.0077182656,-0.0068436111,-0.0001671143
plate_1_3dwh1.ply,fixed,no,-0.0040927917,-0.019196626,-0.0185789529,-0.0130286663,0.007571188,-0.0174535985,0.0079882741,0.0005452205,0.0061450486,0.00199953,0.0027252261
rod1.ply,fixed,no,0.0728106154,0.0103364169,0.008135446,0.0260830797,0.0047293102,-0.0028965527,0.0029584977,0.0032319156,-0.0042474489,-0.0050166387,-0.002450361
bowl_1_3dwh1.ply,fixed,no,-0.0371785662,-0.0233985789,-0.0285658011,0.0101579118,0.0112473688,0.0078670963,-0.0049248158,0.0065047733,-0.0039689828,-0.0014542964,0.0077329943
bottle_1_3dwh2.ply,fixed,no,-0.0502042706,0.0616548107,0.0049187056,0.0008084552,-0.0091886458,-0.0037329948,0.0001030719,0.0019893375,-0.0013407026,-0.0011427709,0.0014513277
screwdriver_3_seg2.ply,fixed,point,0.0716828056,0.0083120929,0.0047815528,0.0104589904,0.0007877474,0.0010493768,-0.0011750641,-0.0007653138,-0.0107039222,-0.0013590291,-0.0034020548
kitchenknife_5_3dwh1.ply,fixed,no,-0.0184043434,-0.0269598031,0.0137846927,-0.0002944241,-0.0172069868,-0.005720252,-0.0003429639,-0.0123709883,0.0032777776,0.002497204,0.0091741451
coin1.ply,fixed,no,-0.0358029208,-0.0344748629,0.0098769259,0.0043813624,-0.0179827655,-0.0130989812,0.0457415018,0.0125508192,-0.0136706705,0.0072019897,-0.0028624004
tablefork_19_3dwh1.ply,fixed,no,0.0632086113,0.0061878837,0.0004387668,-0.0045711131,-0.001933854,0.0009071212,4.98606604029041E-005,0.0016035391,-0.007368321,-0.0029715457,-0.0025130701
spoon_1_3dwh1.ply,fixed,no,0.0594602393,0.0035487642,0.0024741583,0.011570581,0.0038260928,-0.0061643594,-0.0007582371,-0.0043496211,-0.0004597812,0.0037121625,0.0010099964
chopstick_5_3dwh1.ply,fixed,point,0.0756413456,0.0073022535,0.0059957705,0.0137851929,0.0021060719,0.0052464353,-0.0071465516,-0.0094380113,-0.0015878861,0.0121692956,0.0022163989
spoon_4_3dwh1.ply,fixed,no,-0.0251123152,-0.0303226307,-0.0201427899,0.0028341444,0.0093623478,0.0143411918,-0.0011449951,0.0016441885,0.0042792001,0.0021459701,-0.0039519775
kitchenknife_5_3dwh3.ply,fixed,point,0.0680070952,0.005046776,-0.0007708299,-0.0096819807,-0.002769733,0.0063303639,-0.004270457,-0.0026580806,-0.0028061746,0.0039078147,-0.0003545688
spatula_1_3dwh1.ply,fixed,no,0.0430978899,-0.0021235454,-0.0019838114,-0.0004219751,0.0013637882,-0.0049024814,0.0009703396,-0.0039875722,-0.0040964048,0.0040865083,0.0004006754
metal_bowl_small1.ply,fixed,no,-0.0431884677,0.0122915305,-0.0236718453,0.0126132961,-0.0082305583,0.012070897,-0.0050945249,0.0058733838,-0.0023781678,0.0010172342,0.0031910022
chopstick_2_3dwh1.ply,fixed,point,0.0736953108,0.0098481139,0.0076785599,0.0247643906,0.004715783,-0.0019033464,0.0020038748,0.0020325723,-0.0003295507,-0.0022808972,-0.0009483153
