Name,Joint,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80,Feature81,Feature82,Feature83,Feature84,Feature85,Feature86,Feature87,Feature88,Feature89,Feature90,Feature91,Feature92,Feature93,Feature94,Feature95,Feature96,Feature97,Feature98,Feature99,Feature100,Feature101,Feature102,Feature103,Feature104,Feature105,Feature106,Feature107,Feature108,Feature109,Feature110,Feature111,Feature112,Feature113,Feature114,Feature115,Feature116,Feature117,Feature118,Feature119,Feature120,Feature121,Feature122,Feature123,Feature124,Feature125,Feature126,Feature127,Feature128,Feature129,Feature130,Feature131,Feature132,Feature133,Feature134,Feature135,Feature136,Feature137,Feature138,Feature139,Feature140,Feature141,Feature142,Feature143,Feature144,Feature145,Feature146,Feature147,Feature148,Feature149,Feature150,Feature151,Feature152,Feature153,Feature154,Feature155,Feature156,Feature157,Feature158,Feature159,Feature160,Feature161,Feature162,Feature163,Feature164,Feature165,Feature166,Feature167,Feature168,Feature169,Feature170,Feature171,Feature172,Feature173,Feature174,Feature175,Feature176,Feature177,Feature178,Feature179,Feature180,Feature181,Feature182,Feature183,Feature184,Feature185,Feature186,Feature187,Feature188,Feature189,Feature190,Feature191,Feature192,Feature193,Feature194,Feature195,Feature196,Feature197,Feature198,Feature199,Feature200,Feature201,Feature202,Feature203,Feature204,Feature205,Feature206,Feature207,Feature208,Feature209,Feature210,Feature211,Feature212,Feature213,Feature214,Feature215,Feature216,Feature217,Feature218,Feature219,Feature220,Feature221,Feature222,Feature223,Feature224,Feature225,Feature226,Feature227,Feature228,Feature229,Feature230,Feature231,Feature232,Feature233,Feature234,Feature235,Feature236,Feature237,Feature238,Feature239,Feature240,Feature241,Feature242,Feature243,Feature244,Feature245,Feature246,Feature247,Feature248,Feature249,Feature250,Feature251,Feature252,Feature253,Feature254,Feature255,Feature256,Feature257,Feature258,Feature259,Feature260,Feature261,Feature262,Feature263,Feature264,Feature265,Feature266,Feature267,Feature268,Feature269,Feature270,Feature271,Feature272,Feature273,Feature274,Feature275,Feature276,Feature277,Feature278,Feature279,Feature280,Feature281,Feature282,Feature283,Feature284,Feature285,Feature286,Feature287,Feature288,Feature289,Feature290,Feature291,Feature292,Feature293,Feature294,Feature295,Feature296,Feature297,Feature298,Feature299,Feature300,Feature301,Feature302,Feature303,Feature304,Feature305,Feature306,Feature307,Feature308,Feature309,Feature310,Feature311,Feature312,Feature313,Feature314,Feature315,Feature316,Feature317,Feature318,Feature319,Feature320,Feature321,Feature322,Feature323,Feature324,Feature325,Feature326,Feature327,Feature328,Feature329,Feature330,Feature331,Feature332,Feature333,Feature334,Feature335,Feature336,Feature337,Feature338,Feature339,Feature340,Feature341,Feature342,Feature343,Feature344,Feature345,Feature346,Feature347,Feature348,Feature349,Feature350,Feature351,Feature352
scissors.ply,revolute,0,0,0,0,0,0,0,0,0,1.96613E-008,0.263707,0,0,0,0,0,0,0,0,0,2.98356E-008,0.359495,0,0,0,0,0,0,0,0,0,0,0.00801681,0,0,0,0,0,0,0,0,0,0,0.0145273,0,0,0,0,0,0,0,0,0,6.25586E-009,0.0797398,0,0,0,0,0,0,0,0,0,0.000000006,0.0778511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89938E-009,0.128394,0,0,0,0,0,0,0,0,0,1.01056E-008,0.133062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2448E-008,0.399928,0,0,0,0,0,0,0,0,0,3.16918E-008,0.397029,0,0,0,0,0,0,0,0,0,0,0.00494614,0,0,0,0,0,0,0,0,0,0,0.00482826,0,0,0,0,0,0,0,0,0,2.53672E-008,0.361112,0,0,0,0,0,0,0,0,0,2.52984E-008,0.356245,0,0,0,0,0,0,0,0,0,0,0.00228342,0,0,0,0,0,0,0,0,0,0,0.00214652,0,0,0,0,0,0,0,0,0,9.89938E-009,0.150104,0,0,0,0,0,0,0,0,0,9.89938E-009,0.153039,0,0,0,0,0,0,0,0,0,0,1.2836E-006,0,0,0,0,0,0,0,0,0,0,3.75671E-006,0,0,0,0,0,0,0,0,0,4.8122E-009,0.0593738,0,0,0,0,0,0,0,0,0,4.46847E-009,0.0560787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34054E-008,0.18826,0,0,0,0,0,0,0,0,0,2.33735E-008,0.28315,0,0,0,0,0,0,0,0,0,4.8122E-009,0.0636628,0,0,0,0,0,0,0,0,0,7.28704E-009,0.0842722
bowl_1_3dwh.ply,fixed,0,0,0,0,0,0,0,0,0,0,0.191651,0,0,0,0,0,0,0,0,0,0,0.290228,0,0,0,0,0,0,0,0,0,2.01841E-008,0.0512103,0,0,0,0,0,0,0,0,0,0,0.0111455,0,0,0,0,0,0,0,0,0,0,0.191299,0,0,0,0,0,0,0,0,0,0,0.289001,0,0,0,0,0,0,0,0,0,2.57843E-008,0.0501732,0,0,0,0,0,0,0,0,0,0,0.010883,0,0,0,0,0,0,0,0,0,0,0.194562,0,0,0,0,0,0,0,0,0,0,0.284736,0,0,0,0,0,0,0,0,0,2.63093E-008,0.0494089,0,0,0,0,0,0,0,0,0,0,0.0105405,4.68938E-005,0,0,0,0,0,0,0,0,0,0.199971,0.000731851,0,0,0,0,0,0,0,0,0,0.29335,0,0,0,0,0,0,0,0,0,1.43505E-008,0.0463456,0,0,0,0,0,0,0,0,0,0,0.0102,9.35817E-005,0,0,0,0,0,0,0,0,0,0.200249,0.00192136,0,0,0,0,0,0,0,0,0,0.293292,0,0,0,0,0,0,0,0,0,1.76173E-008,0.0460433,0,0,0,0,0,0,0,0,0,0,0.01023,0,0,0,0,0,0,0,0,0,0,0.197986,0.000846838,0,0,0,0,0,0,0,0,0,0.286471,0,0,0,0,0,0,0,0,0,1.83757E-008,0.04624,0,0,0,0,0,0,0,0,0,0,0.00988479,0,0,0,0,0,0,0,0,0,0,0.197924,0,0,0,0,0,0,0,0,0,0,0.292763,0,0,0,0,0,0,0,0,0,2.12341E-008,0.0478073,0,0,0,0,0,0,0,0,0,0,0.010701,0,0,0,0,0,0,0,0,0,0,0.19611,0,0,0,0,0,0,0,0,0,0,0.289182,0,0,0,0,0,0,0,0,0,1.33588E-008,0.0493164,0,0,0,0,0,0,0,0,0,0,0.0105787
tablefork_14_3dwh.ply,fixed,0.0660124,9.53689E-009,0,0,0,0,0,0,0,2.17592E-007,0.30086,0.383002,2.70233E-007,0,0,0,0,0,0,0,0,0.0407895,0.00044347,0,0,0,0,0,0,0,0,0,0.013456,0.0106876,0,0,0,0,0,0,0,0,0,0,0.00073538,0,0,0,0,0,0,0,0,9.78787E-009,0.0140299,0.0117555,8.28204E-009,0,0,0,0,0,0,0,0,0.000813047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000906115,0,0,0,0,0,0,0,0,0.000000012,0.0174713,0.0150496,1.03526E-008,0,0,0,0,0,0,0,0,0.00103036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433227,0,0,0,0,0,0,0,0,2.51096E-007,0.355395,0.353972,2.50218E-007,0,0,0,0,0,0,0,1.06663E-009,0.0441884,0.00210596,0,0,0,0,0,0,0,0,8.28204E-009,0.0214968,0.0248642,1.04153E-008,0,0,0,0,0,0,0,1.25485E-010,0.0019582,0.0434506,0,0,0,0,0,0,0,0,2.49842E-007,0.354061,0.354343,2.50908E-007,0,0,0,0,0,0,0,8.15655E-010,0.0436843,0.00198847,0,0,0,0,0,0,0,0,8.2193E-009,0.0214412,0.0245944,9.85061E-009,0,0,0,0,0,0,0,1.88228E-010,0.00198983,0.000910935,0,0,0,0,0,0,0,0,1.21093E-008,0.0175506,0.014649,0.00000001,0,0,0,0,0,0,0,0,0.00103706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072209,0,0,0,0,0,0,0,0,0.00000001,0.0143795,0.0117698,8.2193E-009,0,0,0,0,0,0,0,0,0.000796493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661314,1.04153E-008,0,0,0,0,0,0,0,2.20101E-007,0.303555,0.379342,2.66782E-007,0,0,0,0,0,0,0,0,0.0413697,0.000573265,0,0,0,0,0,0,0,0,0,0.0137032,0.0104151,0,0,0,0,0,0,0,0,0,0
scissors_2_seg.ply,revolute,0,0,0,0,0,0,0,0,0,1.97863E-008,0.260497,0,0,0,0,0,0,0,0,0,2.29489E-008,0.290798,0,0,0,0,0,0,0,0,0,0,0.0125005,0,0,0,0,0,0,0,0,0,2.43275E-010,0.0186226,0,0,0,0,0,0,0,0,0,0.000000008,0.101967,0,0,0,0,0,0,0,0,0,8.19025E-009,0.103846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20826E-008,0.154658,0,0,0,0,0,0,0,0,0,1.25692E-008,0.158538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32475E-008,0.413391,0,0,0,0,0,0,0,0,0,3.22744E-008,0.405304,0,0,0,0,0,0,0,0,0,0,0.00398611,0,0,0,0,0,0,0,0,0,0,0.00386566,0,0,0,0,0,0,0,0,0,2.66791E-008,0.352464,0,0,0,0,0,0,0,0,0,2.61926E-008,0.347682,0,0,0,0,0,0,0,0,0,0,0.00120457,0,0,0,0,0,0,0,0,0,0,0.00110672,0,0,0,0,0,0,0,0,0,1.5083E-008,0.191702,0,0,0,0,0,0,0,0,0,1.56507E-008,0.196758,0,0,0,0,0,0,0,0,0,0,1.23269E-005,0,0,0,0,0,0,0,0,0,0,1.73978E-005,0,0,0,0,0,0,0,0,0,6.32514E-009,0.0783761,0,0,0,0,0,0,0,0,0,6.08187E-009,0.0762012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55696E-008,0.20541,0,0,0,0,0,0,0,0,0,1.75969E-008,0.230938,0,0,0,0,0,0,0,0,0,4.86549E-009,0.0807535,0,0,0,0,0,0,0,0,0,6.32514E-009,0.0840846
meshspatula_1_3dwh.ply,fixed,0.0377662,0,0,0,0,0,0,0,0,3.44924E-007,0.278867,0.270787,3.36643E-007,0,0,0,0,0,0,0,2.20822E-009,0.0385541,0.00679167,0,0,0,0,0,0,0,0,4.05209E-008,0.0398141,0.054959,5.86283E-008,0,0,0,0,0,0,0,0.000000001,0.00566591,0.000781643,0,0,0,0,0,0,0,0,0.000000016,0.0132196,0.00736907,9.27453E-009,0,0,0,0,0,0,0,0,0.000793598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000783629,0,0,0,0,0,0,0,0,1.63408E-008,0.016645,0.0073321,9.05371E-009,0,0,0,0,0,0,0,0,0.000772381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919852,2.39198E-008,0,0,0,0,0,0,0,3.47787E-007,0.268122,0.507941,6.25841E-007,0,0,0,0,0,0,0,0,0.0371431,0.00095576,0,0,0,0,0,0,0,0,0,0.00779581,0.0118383,0,0,0,0,0,0,0,0,0,0,0.0920717,2.38882E-008,0,0,0,0,0,0,0,3.47874E-007,0.268101,0.508415,0.000000627,0,0,0,0,0,0,0,0,0.0372696,0.000949195,0,0,0,0,0,0,0,0,0,0.00787019,0.0120067,0,0,0,0,0,0,0,0,0,0,0.000765683,0,0,0,0,0,0,0,0,1.62304E-008,0.0163303,0.00701812,8.61206E-009,0,0,0,0,0,0,0,0,0.000799926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074597,0,0,0,0,0,0,0,0,1.51263E-008,0.0125725,0.00697955,8.72247E-009,0,0,0,0,0,0,0,0,0.000706527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037421,0,0,0,0,0,0,0,0,3.50666E-007,0.282573,0.268921,3.33441E-007,0,0,0,0,0,0,0,2.53945E-009,0.0393196,0.00683044,0,0,0,0,0,0,0,0,4.11833E-008,0.0403887,0.0550011,0.000000059,0,0,0,0,0,0,0,1.10411E-009,0.00582197
cuboid.ply,fixed,0.00157613,0,0,0,0,0,0,0,0,0.00033712,0.24809,0.0362915,0.000180709,0,0,0,0,0,0,0,0.000147698,0.220127,0.00479522,0,0,0,0,0,0,0,0,0.000783909,0.194861,0.0695991,0.000559738,0,0,0,0,0,0,0,0.000228167,0.134919,0,0,0,0,0,0,0,0,0,4.21078E-007,0.191676,0.000827782,0,0,0,0,0,0,0,0,3.95074E-007,0.181079,0,0,0,0,0,0,0,0,0,0,0.00796345,0.000771957,0,0,0,0,0,0,0,0,0,0.00619551,0,0,0,0,0,0,0,0,0,3.86872E-007,0.181643,0,0,0,0,0,0,0,0,0,4.14477E-007,0.189877,0,0,0,0,0,0,0,0,0,0,0.00779789,0,0,0,0,0,0,0,0,0,0,0.00714434,0,0,0,0,0,0,0,0,0,0.000299552,0.26229,0.000280529,0,0,0,0,0,0,0,0,0.00029562,0.249994,0,0,0,0,0,0,0,0,0,0.000955487,0.20089,0.000193582,0,0,0,0,0,0,0,0,0.000968593,0.199028,0.00113574,0,0,0,0,0,0,0,0,0.000253731,0.248316,0.0203441,0.000169752,0,0,0,0,0,0,0,0.000106382,0.237017,0.00212172,0,0,0,0,0,0,0,0,0.00101876,0.185486,0.0302734,0.000395118,0,0,0,0,0,0,0,0.000510599,0.160543,0,0,0,0,0,0,0,0,0,3.87072E-007,0.184717,0.000726394,0,0,0,0,0,0,0,0,4.24279E-007,0.195734,0,0,0,0,0,0,0,0,0,0,0.0075823,0.000741611,0,0,0,0,0,0,0,0,0,0.00829066,0,0,0,0,0,0,0,0,0,3.94273E-007,0.188045,0.00120349,0,0,0,0,0,0,0,0,4.19078E-007,0.192441,0,0,0,0,0,0,0,0,0,0,0.00785607,0.00144197,0,0,0,0,0,0,0,0,0,0.00743083,0.00204837,0,0,0,0,0,0,0,0,0.000277459,0.23231,0.0411519,0.000260167,0,0,0,0,0,0,0,0.000102445,0.197818,0.00559665,0,0,0,0,0,0,0,0,0.000847702,0.195147,0.0746252,0.000707171,0,0,0,0,0,0,0,0.000172234,0.121108
pliers_3.ply,revolute,9.74403E-005,0,0,0,0,0,0,0,0,0,0.303099,0.00322336,0,0,0,0,0,0,0,0,0,0.306632,0,0,0,0,0,0,0,0,0,7.79995E-010,0.034212,0,0,0,0,0,0,0,0,0,1.55999E-009,0.0364712,0.00105446,0,0,0,0,0,0,0,0,0,0.15498,0.017381,0,0,0,0,0,0,0,0,0,0.139044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31323,0,0,0,0,0,0,0,0,0,0,0.307229,0,0,0,0,0,0,0,0,0,0,0.00354131,0,0,0,0,0,0,0,0,0,0,0.00342239,0,0,0,0,0,0,0,0,0,2.18398E-009,0.192126,0,0,0,0,0,0,0,0,0,3.74397E-009,0.199625,0,0,0,0,0,0,0,0,0,0,0.0152843,0,0,0,0,0,0,0,0,0,0,0.0161411,0,0,0,0,0,0,0,0,0,1.24799E-009,0.203135,0,0,0,0,0,0,0,0,0,7.79995E-010,0.201176,0,0,0,0,0,0,0,0,0,0,0.0156682,0,0,0,0,0,0,0,0,0,0,0.0157002,0,0,0,0,0,0,0,0,0,0,0.307011,0,0,0,0,0,0,0,0,0,0,0.31296,0,0,0,0,0,0,0,0,0,0,0.00318854,0,0,0,0,0,0,0,0,0,0,0.00357411,0.00113364,0,0,0,0,0,0,0,0,0,0.158022,0.018731,0,0,0,0,0,0,0,0,0,0.135237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298083,0.00188708,0,0,0,0,0,0,0,0,0,0.29731,0,0,0,0,0,0,0,0,0,2.65198E-009,0.0370819,0,0,0,0,0,0,0,0,0,0.000000003,0.0383493
tablefork_18_3dwh.ply,fixed,0.0301,0,0,0,0,0,0,0,0,9.29164E-008,0.263158,0.224158,7.88848E-008,0,0,0,0,0,0,0,9.13469E-009,0.0613212,0.00642607,0,0,0,0,0,0,0,0,5.08529E-009,0.0254153,0.0493392,1.55619E-008,0,0,0,0,0,0,0,1.88344E-010,0.00436,0.00110469,0,0,0,0,0,0,0,0,6.68622E-009,0.0189185,0.0201927,7.12569E-009,0,0,0,0,0,0,0,0,0.00109425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214663,0,0,0,0,0,0,0,0,0.000000011,0.0331343,0.0361604,1.20854E-008,0,0,0,0,0,0,0,0,0.00208917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431373,0,0,0,0,0,0,0,0,1.4632E-007,0.429234,0.425386,0.000000145,0,0,0,0,0,0,0,0,0.0438098,0,0,0,0,0,0,0,0,0,0,0.00694944,0.00658251,0,0,0,0,0,0,0,0,0,0,0.043341,1.25563E-010,0,0,0,0,0,0,0,1.47136E-007,0.431074,0.425297,1.45417E-007,0,0,0,0,0,0,0,0,0.0439978,7.91078E-006,0,0,0,0,0,0,0,0,0,0.00701245,0.00654189,0,0,0,0,0,0,0,0,0,0,0.00216972,3.13907E-011,0,0,0,0,0,0,0,1.11437E-008,0.0333967,0.0355595,1.18657E-008,0,0,0,0,0,0,0,0,0.00205729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010965,0,0,0,0,0,0,0,0,6.46648E-009,0.0184012,0.0202674,7.12569E-009,0,0,0,0,0,0,0,0,0.00104745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296778,0,0,0,0,0,0,0,0,9.31676E-008,0.263463,0.222358,7.79431E-008,0,0,0,0,0,0,0,8.94635E-009,0.0610034,0.00664641,0,0,0,0,0,0,0,0,5.0539E-009,0.0254955,0.0502534,1.60956E-008,0,0,0,0,0,0,0,1.56953E-010,0.00425786
chopstick_5_3dwh.ply,fixed,0.290354,4.66966E-006,0,0,0,0,0,0,0,0,0,0.288871,4.76547E-006,0,0,0,0,0,0,0,0,0,0.0465415,7.78845E-007,0,0,0,0,0,0,0,0,0,0.0467023,7.86742E-007,0,0,0,0,0,0,0,0,0,0.0111751,3.8697E-008,0,0,0,0,0,0,0,0,0,0.0160777,7.07852E-008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133316,4.04427E-008,0,0,0,0,0,0,0,0,0,0.0186147,9.58904E-008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397122,5.91146E-006,0,0,0,0,0,0,0,0,0,0.419818,6.10876E-006,0,0,0,0,0,0,0,0,0,0.00334661,0,0,0,0,0,0,0,0,0,0,0.00298969,0,0,0,0,0,0,0,0,0,0,0.400634,5.89978E-006,0,0,0,0,0,0,0,0,0,0.403508,5.76141E-006,0,0,0,0,0,0,0,0,0,0.0030134,0,0,0,0,0,0,0,0,0,0,0.00296077,0,0,0,0,0,0,0,0,0,0,0.0171233,5.63621E-008,0,0,0,0,0,0,0,0,0,0.0154166,5.76506E-008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151546,7.13255E-008,0,0,0,0,0,0,0,0,0,0.0145928,6.73353E-008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28807,4.9129E-006,0,0,0,0,0,0,0,0,0,0.286868,4.94129E-006,0,0,0,0,0,0,0,0,0,0.0406947,6.26883E-007,0,0,0,0,0,0,0,0,0,0.0420514,6.82414E-007,0,0,0,0,0,0,0,0,0
metal_bowl_small.ply,fixed,0,0,0,0,0,0,0,0,0,1.9394E-008,0.233766,0.0160877,1.30453E-009,0,0,0,0,0,0,0,2.08725E-008,0.273157,0,0,0,0,0,0,0,0,0,2.783E-009,0.0471953,0,0,0,0,0,0,0,0,0,0,0.0117695,0,0,0,0,0,0,0,0,0,1.86113E-008,0.224797,0.0116393,0.000000001,0,0,0,0,0,0,0,0.000000018,0.240179,0,0,0,0,0,0,0,0,0,0,0.0199533,0,0,0,0,0,0,0,0,0,0,0.00582745,0,0,0,0,0,0,0,0,0,1.97419E-008,0.234574,0.0113462,0.000000001,0,0,0,0,0,0,0,1.76547E-008,0.238994,0,0,0,0,0,0,0,0,0,0,0.021112,0,0,0,0,0,0,0,0,0,0,0.0054808,0,0,0,0,0,0,0,0,0,0.000000019,0.230809,0.000442402,0,0,0,0,0,0,0,0,2.2264E-008,0.289376,0,0,0,0,0,0,0,0,0,2.08725E-009,0.0461985,0,0,0,0,0,0,0,0,0,0,0.0116669,0,0,0,0,0,0,0,0,0,1.91331E-008,0.23292,0,0,0,0,0,0,0,0,0,2.25249E-008,0.292511,0,0,0,0,0,0,0,0,0,0.000000002,0.0456178,0,0,0,0,0,0,0,0,0,0,0.0114453,0,0,0,0,0,0,0,0,0,1.88722E-008,0.22786,0,0,0,0,0,0,0,0,0,1.9568E-008,0.2593,0,0,0,0,0,0,0,0,0,0,0.0198299,0,0,0,0,0,0,0,0,0,0,0.00588701,0,0,0,0,0,0,0,0,0,1.88722E-008,0.227557,0.00028394,0,0,0,0,0,0,0,0,1.88722E-008,0.251535,0,0,0,0,0,0,0,0,0,0,0.0202161,0,0,0,0,0,0,0,0,0,0,0.00570982,0,0,0,0,0,0,0,0,0,1.91331E-008,0.231351,0.0129596,0.000000001,0,0,0,0,0,0,0,2.07855E-008,0.272531,0,0,0,0,0,0,0,0,0,0.000000002,0.0457846,0,0,0,0,0,0,0,0,0,0,0.0115416
