Name,Joint,Contact,Feats,,,,,,,,,,,
screwdriver_3_seg2.ply,fixed,point,0.4083905753,-0.1948963612,-0.2345533318,-0.0544834963,-0.1753076193,0.1011741731,0.0328856422,-0.0405122707,-0.0680125113,-0.0322032008,0.0177679437,0.0238393261
kitchenknife_5_3dwh1.ply,fixed,no,-0.0199002032,-0.419319759,-0.0671437193,-0.0545207528,0.0230518844,-0.0218113823,0.0126686668,0.0100838975,0.0480729662,-0.0108753678,0.0092106436,-0.0435384846
coin1.ply,fixed,no,-0.4443273616,0.1839043489,0.2638010729,0.0236722802,-0.1865546019,-0.0076598853,-0.1464167081,-0.0410928187,0.0028103146,0.1186940581,-0.1217364198,-0.0808474291
tablefork_19_3dwh1.ply,fixed,no,0.6476469817,0.1356240564,-0.2791756537,-0.0203122451,-0.2786477719,0.1440195132,0.0903100154,-0.0668563993,-0.0753963513,-0.0056729764,0.0325048073,0.0002046125
spoon_1_3dwh1.ply,fixed,no,-0.6323356575,0.1231699701,-0.2838368451,-0.1256415139,0.2219650748,-0.0607988764,0.1245510686,0.0274692605,0.017312928,0.0112737414,0.0354715059,-0.0325678784
chopstick_5_3dwh1.ply,fixed,point,-0.6451243616,0.1659768221,-0.3157307,-0.1232771859,0.2209725942,-0.0112539188,0.0709091795,-0.0110909778,-0.0874662034,-0.0183810331,0.0235095184,0.0428631145
spoon_4_3dwh1.ply,fixed,no,0.4887619259,0.020388292,0.1098728882,-0.1048074974,-0.0257816802,-0.0538485365,0.0030104502,-0.0518439392,0.0207269713,-0.0414896074,-0.0882774522,0.0411699921
kitchenknife_5_3dwh3.ply,fixed,point,-0.0171606343,-0.3975465817,-0.0626182926,-0.0515806953,0.0227714581,-0.0012868772,-0.0302365545,-0.0168688243,-0.0084639657,-0.0024915104,-0.003421225,-0.0219623442
spatula_1_3dwh1.ply,fixed,no,0.0180903911,-0.4025172835,-0.1248010755,-0.0544451714,0.0263015608,0.0158053252,-0.0222591562,-0.0033957024,-0.0074170174,-0.0089422655,0.0426374337,-0.047884418
metal_bowl_small1.ply,fixed,no,0.6708804287,0.378607408,0.0489567479,-0.1230897567,0.1060197408,-0.0819424126,0.0019220737,0.0274822707,0.0754072415,-0.0415423154,-0.0130571504,0.0245679004
chopstick_2_3dwh1.ply,fixed,point,0.0686177452,0.1111777455,-0.3152473312,0.7758508452,0.1682073367,-0.1851957825,-0.2845795315,-0.2139103257,-0.1492425423,-0.0151773268,0.1873454597,-0.0097392554
mug_1_3dwh2.ply,fixed,no,0.0699944625,-0.3164513627,0.0373293745,-0.0456666543,-0.0138362774,-0.0222447674,0.012103914,-0.0308637974,0.114725975,-0.1376540166,0.0897549258,0.0063926484
tablefork_13_3dwh1.ply,fixed,no,0.1752047705,-0.3482015114,-0.1471168244,-0.0729352211,-0.0588586648,0.0282037413,0.0044228958,-0.0208250207,-0.0106078853,-0.0200506545,0.0108929161,-0.0213849552
pen_1_3dwh2.ply,fixed,point,0.0220001024,-0.4093647177,-0.0596564005,-0.0313888143,0.0134023084,-0.0185150575,0.0119810023,-0.0026005931,0.0304108983,-0.0156253521,-0.0036665817,-0.038435024
meshspatula_1_3dwh2.ply,fixed,no,0.3654471469,-0.1703160834,-0.0900081426,-0.0384531738,-0.2011385269,0.0772830634,0.0161771033,0.033720823,-0.0762201691,-0.0841084251,0.0380313975,0.1150577514
bottle_1_3dwh1.ply,fixed,no,-0.0074330244,-0.2058768306,0.3751684932,0.0466358098,0.0411850798,-0.0569610011,-0.0336159763,0.0563815011,-0.073478139,0.0114210099,0.0494755107,-0.0025856438
scissor1_2.ply,revolute,point,0.6536078395,0.3469373746,0.0547431767,-0.0642363,0.1814300184,-0.0133631654,-0.1389315997,-0.1293062085,0.0060287303,0.0383115238,-0.0299325484,-0.0690753466
meshspatula_1_3dwh1.ply,fixed,no,-0.1555090026,-0.359674187,-0.1519406089,-0.0963692054,0.051672912,-0.0248273142,0.0205201933,-0.0036984619,0.0249353895,-0.0072151491,-0.0018352825,-0.0350575936
ladle_1_3dwh2.ply,fixed,no,0.6682769028,0.1051482419,-0.2551557471,-0.0419004095,-0.2317900228,0.1149493049,0.0404789172,-0.0245888929,-0.0139402024,-0.0185646779,0.0382404694,0.010009144
fyingpan_4_3dwh2.ply,fixed,no,-0.2509664106,-0.0411690834,0.4318853997,0.0528182831,-0.0819784851,-0.0656861307,-0.0326548127,0.0864533446,-0.0321710791,-0.036284329,0.0614303065,0.1086752333
bottle_8_3dwh2.ply,fixed,no,0.0015812973,-0.3831989523,0.0900618101,-0.0169294923,0.041377129,-0.0190610383,-0.0332093135,-0.0024327459,-0.0151634642,-0.0103239465,0.0115753427,-0.0214900716
pen_1_3dwh1.ply,fixed,point,-0.0137083478,-0.4179852759,-0.0234293364,-0.0452584466,0.0199539258,-0.0244991103,0.0055974012,0.0055970074,0.0377050037,-0.010487556,-0.0007910075,-0.0362194048
chopstick_1_3dwh1.ply,fixed,point,0.4298598251,0.1575447348,-0.3881385611,0.5957552802,-0.1920001106,-0.1687668517,0.1761573825,0.1618571199,0.0585176095,0.0023333527,-0.1709574655,0.0727036162
pliers1_2.ply,revolute,point,0.5837542368,0.3842716564,0.1853090467,-0.0488065306,0.1701704079,-0.0460421052,-0.1297465417,-0.1148275636,-0.0006699341,0.0255592966,-0.0553255586,-0.0428468842
chopstick_7_3dwh1.ply,fixed,point,0.0083959476,-0.1631160155,-0.3035781481,0.5803927066,0.0416067883,-0.3172204186,0.0604588647,0.0957184619,0.1225729031,0.003466054,-0.1005926235,-0.0228788687
pliers1_1.ply,revolute,point,-0.6563162875,0.3050841805,-0.0241422922,-0.0130584209,-0.1405135731,0.0297299674,-0.0472099951,-0.0343269953,0.1079006565,-0.0196578476,0.0213081413,-0.1296016887
tablefork_18_3dwh2.ply,fixed,point,-0.066619985,-0.3497862854,0.049271465,-0.0689652301,0.0499529982,-0.0636246882,0.0007043567,-0.0063726888,0.0445540537,-0.0128795227,-0.0345903566,-0.0210790162
tablefork_19_3dwh4.ply,fixed,point,-0.6729330971,0.2885054281,-0.0498565103,-0.0359980437,-0.045139597,0.0274417231,0.0113140263,-0.020972363,-0.137492853,-0.0251671285,0.0120843164,0.1324781472
pliers3_2.ply,revolute,point,0.6988175921,0.2389011507,-0.0584198501,-0.0758070374,-0.0015982993,0.0258039172,-0.0438337543,-0.1017207528,-0.002575924,0.0020243443,-0.0157579897,-0.0243810339
scissors_2_seg2.ply,revolute,point,0.6465916526,0.1254943329,-0.2747237007,-0.0178004227,-0.271176439,0.1461484426,0.0787574507,-0.0759445035,-0.0724244421,-0.0118931057,0.0426517606,-0.0013512539
