action_part,grasp_part,attachment,geo_score,att_score
screwdriver_small.ply,red_foam.ply,None,3.148558e-01,Inf
screwdriver_small.ply,plastic_handle.ply,None,4.011857e-01,Inf
red_flat_piece_2mag.ply,red_foam.ply,None,6.730667e-01,Inf
red_flat_piece_2mag.ply,red_foam.ply,None,6.730667e-01,Inf
red_flat_piece_2mag.ply,red_foam.ply,None,6.730667e-01,Inf
plastic_handle.ply,red_foam.ply,None,7.276128e-01,Inf
red_flat_piece_2mag.ply,plastic_handle.ply,None,8.410412e-01,Inf
red_flat_piece_2mag.ply,plastic_handle.ply,None,8.410412e-01,Inf
red_flat_piece_2mag.ply,plastic_handle.ply,None,8.410412e-01,Inf
red_foam.ply,plastic_handle.ply,None,1.025191e+00,Inf
plastic_handle.ply,screwdriver_small.ply,pierce,1.125504e+00,5.621361e-03
red_flat_piece_2mag.ply,screwdriver_small.ply,pierce,1.159838e+00,5.621363e-03
red_foam.ply,screwdriver_small.ply,pierce,1.281310e+00,5.621365e-03
screwdriver_small.ply,red_flat_piece_2mag.ply,None,1.402790e+00,Inf
screwdriver_small.ply,red_flat_piece_2mag.ply,None,1.402790e+00,Inf
screwdriver_small.ply,red_flat_piece_2mag.ply,None,1.402790e+00,Inf
plastic_handle.ply,red_flat_piece_2mag.ply,None,1.610676e+00,Inf
plastic_handle.ply,red_flat_piece_2mag.ply,None,1.610676e+00,Inf
plastic_handle.ply,red_flat_piece_2mag.ply,None,1.610676e+00,Inf
red_foam.ply,red_flat_piece_2mag.ply,None,1.686674e+00,Inf
red_foam.ply,red_flat_piece_2mag.ply,None,1.686674e+00,Inf
red_foam.ply,red_flat_piece_2mag.ply,None,1.686674e+00,Inf
