action_part,grasp_part,attachment,geo_score,att_score
purple_foam.ply,wood_long_endPoint.ply,None,6.081660e-01,Inf
purple_foam.ply,wood_long_endPoint.ply,None,6.081660e-01,Inf
screwdriver_large.ply,wood_long_endPoint.ply,None,6.901336e-01,Inf
screwdriver_large.ply,wood_long_endPoint.ply,None,6.901336e-01,Inf
purple_foam.ply,screwdriver_large.ply,pierce,8.139997e-01,1.436684e-04
wood_long_endPoint.ply,coin.ply,None,1.038080e+00,Inf
wood_long_endPoint.ply,coin.ply,None,1.038080e+00,Inf
screwdriver_large.ply,coin.ply,None,1.072791e+00,Inf
purple_foam.ply,coin.ply,None,1.124888e+00,Inf
screwdriver_large.ply,purple_foam.ply,None,1.138153e+00,Inf
wood_long_endPoint.ply,screwdriver_large.ply,pierce,1.196649e+00,1.436655e-04
coin.ply,wood_long_endPoint.ply,None,1.242074e+00,Inf
coin.ply,wood_long_endPoint.ply,None,1.242074e+00,Inf
coin.ply,purple_foam.ply,None,1.353967e+00,Inf
coin.ply,screwdriver_large.ply,pierce,1.363629e+00,1.436591e-04
wood_long_endPoint.ply,purple_foam.ply,None,1.501261e+00,Inf
wood_long_endPoint.ply,purple_foam.ply,None,1.501261e+00,Inf
