action_part,grasp_part,attachment,geo_score,att_score
red_flat_piece_1mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,1.419624e-01
red_flat_piece_1mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,6.645234e-02
red_flat_piece_2mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,1.934358e-01
red_flat_piece_2mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,1.179257e-01
red_flat_piece_2mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,1.419624e-01
red_flat_piece_2mag.ply,red_cylinder_magnetic.ply,magnetic,4.697684e-01,6.645233e-02
red_flat_piece_1mag.ply,yellow_foam.ply,None,4.757600e-01,Inf
red_flat_piece_1mag.ply,yellow_foam.ply,None,4.757600e-01,Inf
red_flat_piece_2mag.ply,yellow_foam.ply,None,4.757600e-01,Inf
red_flat_piece_2mag.ply,yellow_foam.ply,None,4.757600e-01,Inf
red_flat_piece_2mag.ply,yellow_foam.ply,None,4.757600e-01,Inf
yellow_foam.ply,red_cylinder_magnetic.ply,None,9.597160e-01,Inf
yellow_foam.ply,red_cylinder_magnetic.ply,None,9.597160e-01,Inf
yellow_foam.ply,red_cylinder_magnetic.ply,None,9.597160e-01,Inf
red_flat_piece_1mag.ply,red_flat_piece_2mag.ply,magnetic,9.688354e-01,1.824968e-01
red_flat_piece_1mag.ply,red_flat_piece_2mag.ply,magnetic,9.688354e-01,1.310258e-01
red_flat_piece_2mag.ply,red_flat_piece_1mag.ply,magnetic,9.688354e-01,1.824992e-01
red_flat_piece_2mag.ply,red_flat_piece_1mag.ply,magnetic,9.688354e-01,1.310258e-01
red_cylinder_magnetic.ply,yellow_foam.ply,None,1.202840e+00,Inf
red_cylinder_magnetic.ply,yellow_foam.ply,None,1.202840e+00,Inf
red_cylinder_magnetic.ply,yellow_foam.ply,None,1.202840e+00,Inf
yellow_foam.ply,red_flat_piece_1mag.ply,None,1.552113e+00,Inf
yellow_foam.ply,red_flat_piece_1mag.ply,None,1.552113e+00,Inf
yellow_foam.ply,red_flat_piece_2mag.ply,None,1.552113e+00,Inf
yellow_foam.ply,red_flat_piece_2mag.ply,None,1.552113e+00,Inf
yellow_foam.ply,red_flat_piece_2mag.ply,None,1.552113e+00,Inf
red_cylinder_magnetic.ply,red_flat_piece_1mag.ply,magnetic,1.761099e+00,1.421069e-01
red_cylinder_magnetic.ply,red_flat_piece_1mag.ply,magnetic,1.761099e+00,6.618743e-02
red_cylinder_magnetic.ply,red_flat_piece_2mag.ply,magnetic,1.761099e+00,1.935778e-01
red_cylinder_magnetic.ply,red_flat_piece_2mag.ply,magnetic,1.761099e+00,1.421069e-01
red_cylinder_magnetic.ply,red_flat_piece_2mag.ply,magnetic,1.761099e+00,1.176583e-01
red_cylinder_magnetic.ply,red_flat_piece_2mag.ply,magnetic,1.761099e+00,6.618743e-02
