obj_combo,geoscore,att_type,att_score,total_score
"('tongs.ply', 'screwdriver_small.ply')",0.9445192,pierce,0.005621349,0.005621349
"('yellow_foam.ply', 'screwdriver_small.ply')",0.9298952,pierce,0.00562136,0.00562136
"('red_flat_piece_2mag.ply', 'screwdriver_small.ply')",1.159838,pierce,0.005621363,0.005621363
"('screwdriver_small.ply', 'tongs.ply')",0.6932628,grasp,0.03899156,0.03899156
"('red_flat_piece_2mag.ply', 'tongs.ply')",1.217393,grasp,0.06048588,0.06048588
"('yellow_foam.ply', 'tongs.ply')",0.8850642,grasp,0.1036336,0.1036336
"('tongs.ply', 'red_flat_piece_2mag.ply')",1.618513,None,inf,inf
"('red_flat_piece_2mag.ply', 'yellow_foam.ply')",0.9693037,None,inf,inf
"('yellow_foam.ply', 'red_flat_piece_2mag.ply')",1.389678,None,inf,inf
"('screwdriver_small.ply', 'red_flat_piece_2mag.ply')",1.40279,None,inf,inf
"('screwdriver_small.ply', 'yellow_foam.ply')",0.7398711,None,inf,inf
"('red_flat_piece_2mag.ply', 'yellow_foam.ply')",0.9693037,None,inf,inf
"('red_flat_piece_2mag.ply', 'yellow_foam.ply')",0.9693037,None,inf,inf
"('tongs.ply', 'yellow_foam.ply')",0.9924275,None,inf,inf
"('screwdriver_small.ply', 'red_flat_piece_2mag.ply')",1.40279,None,inf,inf
"('tongs.ply', 'red_flat_piece_2mag.ply')",1.618513,None,inf,inf
"('yellow_foam.ply', 'red_flat_piece_2mag.ply')",1.389678,None,inf,inf
"('screwdriver_small.ply', 'red_flat_piece_2mag.ply')",1.40279,None,inf,inf
"('tongs.ply', 'red_flat_piece_2mag.ply')",1.618513,None,inf,inf
"('yellow_foam.ply', 'red_flat_piece_2mag.ply')",1.389678,None,inf,inf
