obj_combo,geoscore,att_type,att_score,total_score
"('red_flat_piece_1mag.ply', 'tongs.ply')",0.3648049,grasp,0.1130937,0.4778986
"('wooden_screw.ply', 'tongs.ply')",1.01929,grasp,0.06748517,1.0867751700000001
"('red_flat_piece_1mag.ply', 'red_foam.ply')",0.8452015,None,inf,inf
"('red_foam.ply', 'tongs.ply')",0.7356542,None,inf,inf
"('red_foam.ply', 'red_flat_piece_1mag.ply')",1.911809,None,inf,inf
"('tongs.ply', 'wooden_screw.ply')",1.342948,None,inf,inf
"('red_foam.ply', 'tongs.ply')",0.7356542,None,inf,inf
"('wooden_screw.ply', 'red_flat_piece_1mag.ply')",1.696819,None,inf,inf
"('red_flat_piece_1mag.ply', 'wooden_screw.ply')",0.2998933,None,inf,inf
"('wooden_screw.ply', 'red_foam.ply')",1.458556,None,inf,inf
"('red_flat_piece_1mag.ply', 'red_foam.ply')",0.8452015,None,inf,inf
"('tongs.ply', 'red_foam.ply')",1.497382,None,inf,inf
"('red_foam.ply', 'wooden_screw.ply')",1.115532,None,inf,inf
"('tongs.ply', 'red_flat_piece_1mag.ply')",1.942555,None,inf,inf
"('red_foam.ply', 'red_flat_piece_1mag.ply')",1.911809,None,inf,inf
"('red_flat_piece_1mag.ply', 'wooden_screw.ply')",0.2998933,None,inf,inf
"('wooden_screw.ply', 'red_flat_piece_1mag.ply')",1.696819,None,inf,inf
"('tongs.ply', 'red_flat_piece_1mag.ply')",1.942555,None,inf,inf
