action_part,grasp_part,attachment,geo_score,att_score
screwdriver_large.ply,green_foam.ply,None,4.108765e-01,Inf
yellow_foam.ply,green_foam.ply,None,4.422461e-01,Inf
screwdriver_large.ply,purple_foam.ply,None,5.237892e-01,Inf
yellow_foam.ply,purple_foam.ply,None,5.845315e-01,Inf
purple_foam.ply,green_foam.ply,None,6.914706e-01,Inf
screwdriver_large.ply,yellow_foam.ply,None,8.220191e-01,Inf
yellow_foam.ply,screwdriver_large.ply,pierce,8.732569e-01,5.621085e-03
green_foam.ply,purple_foam.ply,None,1.035948e+00,Inf
purple_foam.ply,screwdriver_large.ply,pierce,1.052453e+00,5.621089e-03
purple_foam.ply,yellow_foam.ply,None,1.061860e+00,Inf
green_foam.ply,screwdriver_large.ply,pierce,1.235277e+00,5.621087e-03
green_foam.ply,yellow_foam.ply,None,1.242464e+00,Inf
