action_part,grasp_part,attachment,geo_score,att_score
red_flat_piece_1mag.ply,wood_L_shape.ply,magnetic,2.923595e-01,1.431617e-01
donut.ply,tongs.ply,None,3.517236e-01,Inf
red_flat_piece_1mag.ply,tongs.ply,grasp,3.681716e-01,8.070969e-02
red_flat_piece_1mag.ply,drill_bit.ply,None,3.845773e-01,Inf
tuna_can.ply,tongs.ply,grasp,4.196070e-01,6.884027e-02
red_flat_piece_1mag.ply,foam_roll.ply,None,5.338618e-01,Inf
donut.ply,drill_bit.ply,None,5.625061e-01,Inf
steel_bowl.ply,tongs.ply,grasp,6.001683e-01,5.704973e-02
tuna_can.ply,drill_bit.ply,None,6.453889e-01,Inf
foam_roll.ply,tongs.ply,grasp,6.488740e-01,4.823038e-02
foam_roll.ply,tongs.ply,grasp,6.488740e-01,4.267006e-02
donut.ply,wood_L_shape.ply,None,6.925263e-01,Inf
red_foam.ply,tongs.ply,None,7.356542e-01,Inf
tuna_can.ply,blue_cup.ply,None,7.792301e-01,Inf
red_flat_piece_1mag.ply,steel_bowl.ply,None,7.884766e-01,Inf
red_flat_piece_1mag.ply,donut.ply,None,7.937487e-01,Inf
foam_roll.ply,wood_L_shape.ply,None,7.977165e-01,Inf
foam_roll.ply,drill_bit.ply,None,8.041846e-01,Inf
donut.ply,blue_cup.ply,None,8.088467e-01,Inf
red_flat_piece_1mag.ply,blue_cup.ply,None,8.122095e-01,Inf
tuna_can.ply,wood_L_shape.ply,None,8.125077e-01,Inf
red_flat_piece_1mag.ply,red_foam.ply,None,8.412714e-01,Inf
tuna_can.ply,red_foam.ply,None,8.477048e-01,Inf
red_flat_piece_1mag.ply,tuna_can.ply,None,8.670092e-01,Inf
wood_L_shape.ply,tongs.ply,grasp,8.678495e-01,8.567517e-02
wood_L_shape.ply,tongs.ply,grasp,8.678495e-01,8.330515e-03
donut.ply,red_foam.ply,None,8.694518e-01,Inf
blue_cup.ply,tongs.ply,grasp,8.714498e-01,6.462787e-02
steel_bowl.ply,drill_bit.ply,None,8.797765e-01,Inf
tuna_can.ply,steel_bowl.ply,None,9.049221e-01,Inf
donut.ply,steel_bowl.ply,None,9.064277e-01,Inf
drill_bit.ply,tongs.ply,grasp,9.385644e-01,7.657439e-02
donut.ply,foam_roll.ply,None,9.734421e-01,Inf
steel_bowl.ply,blue_cup.ply,None,9.989992e-01,Inf
red_foam.ply,blue_cup.ply,None,1.048229e+00,Inf
wood_L_shape.ply,drill_bit.ply,None,1.051034e+00,Inf
donut.ply,tuna_can.ply,None,1.052041e+00,Inf
tuna_can.ply,donut.ply,None,1.066378e+00,Inf
red_foam.ply,drill_bit.ply,None,1.068115e+00,Inf
steel_bowl.ply,red_foam.ply,None,1.068869e+00,Inf
steel_bowl.ply,wood_L_shape.ply,None,1.075749e+00,Inf
tuna_can.ply,foam_roll.ply,None,1.117755e+00,Inf
foam_roll.ply,blue_cup.ply,None,1.150049e+00,Inf
foam_roll.ply,red_foam.ply,None,1.161773e+00,Inf
foam_roll.ply,steel_bowl.ply,None,1.166336e+00,Inf
drill_bit.ply,wood_L_shape.ply,None,1.208476e+00,Inf
red_foam.ply,steel_bowl.ply,None,1.210109e+00,Inf
blue_cup.ply,drill_bit.ply,None,1.224672e+00,Inf
foam_roll.ply,donut.ply,None,1.235266e+00,Inf
blue_cup.ply,red_foam.ply,None,1.236672e+00,Inf
foam_roll.ply,tuna_can.ply,None,1.271419e+00,Inf
red_foam.ply,wood_L_shape.ply,None,1.275446e+00,Inf
steel_bowl.ply,tuna_can.ply,None,1.279956e+00,Inf
steel_bowl.ply,donut.ply,None,1.291900e+00,Inf
wood_L_shape.ply,blue_cup.ply,None,1.293659e+00,Inf
wood_L_shape.ply,foam_roll.ply,None,1.296222e+00,Inf
blue_cup.ply,steel_bowl.ply,None,1.323418e+00,Inf
wood_L_shape.ply,red_foam.ply,None,1.329866e+00,Inf
wood_L_shape.ply,steel_bowl.ply,None,1.340790e+00,Inf
drill_bit.ply,blue_cup.ply,None,1.349086e+00,Inf
red_foam.ply,tuna_can.ply,None,1.352849e+00,Inf
tongs.ply,drill_bit.ply,None,1.359012e+00,Inf
steel_bowl.ply,foam_roll.ply,None,1.384048e+00,Inf
drill_bit.ply,red_foam.ply,None,1.393549e+00,Inf
red_foam.ply,donut.ply,None,1.403923e+00,Inf
wood_L_shape.ply,donut.ply,None,1.405031e+00,Inf
foam_roll.ply,red_flat_piece_1mag.ply,None,1.415121e+00,Inf
drill_bit.ply,steel_bowl.ply,None,1.421967e+00,Inf
wood_L_shape.ply,tuna_can.ply,None,1.424407e+00,Inf
blue_cup.ply,wood_L_shape.ply,None,1.432856e+00,Inf
drill_bit.ply,foam_roll.ply,None,1.441365e+00,Inf
donut.ply,red_flat_piece_1mag.ply,None,1.447408e+00,Inf
blue_cup.ply,tuna_can.ply,None,1.454915e+00,Inf
tongs.ply,blue_cup.ply,None,1.455921e+00,Inf
tongs.ply,wood_L_shape.ply,None,1.465520e+00,Inf
tongs.ply,red_foam.ply,None,1.497382e+00,Inf
drill_bit.ply,donut.ply,None,1.510494e+00,Inf
drill_bit.ply,tuna_can.ply,None,1.515493e+00,Inf
tongs.ply,steel_bowl.ply,None,1.534763e+00,Inf
blue_cup.ply,donut.ply,None,1.546294e+00,Inf
wood_L_shape.ply,red_flat_piece_1mag.ply,magnetic,1.551139e+00,1.431976e-01
red_foam.ply,foam_roll.ply,None,1.572780e+00,Inf
tuna_can.ply,red_flat_piece_1mag.ply,None,1.588859e+00,Inf
tongs.ply,tuna_can.ply,None,1.607810e+00,Inf
tongs.ply,donut.ply,None,1.614383e+00,Inf
tongs.ply,foam_roll.ply,None,1.690270e+00,Inf
blue_cup.ply,foam_roll.ply,None,1.708734e+00,Inf
drill_bit.ply,red_flat_piece_1mag.ply,None,1.763423e+00,Inf
steel_bowl.ply,red_flat_piece_1mag.ply,None,1.793826e+00,Inf
red_foam.ply,red_flat_piece_1mag.ply,None,1.914584e+00,Inf
tongs.ply,red_flat_piece_1mag.ply,None,1.944225e+00,Inf
blue_cup.ply,red_flat_piece_1mag.ply,None,2.003889e+00,Inf
