obj_combo,geoscore,att_type,att_score,material_score,total_score
"('foam_triangle.ply', 'tongs.ply')",0.2529832804791937,grasp,0.01359665,0,0.2529832804791937
"('wood_wheel.ply', 'tongs.ply')",0.25309359640024137,grasp,0.02792801,0,0.25309359640024137
"('wood_wheel.ply', 'tongs.ply')",0.25309359640024137,grasp,0.04749948,0,0.25309359640024137
"('plastic_claw.ply', 'tongs.ply')",0.2534622888310311,grasp,0.02553754,0,0.2534622888310311
"('plastic_claw.ply', 'tongs.ply')",0.2534622888310311,grasp,0.129376,0,0.2534622888310311
"('coin.ply', 'tongs.ply')",0.25346914083535554,grasp,0.007588048,0,0.25346914083535554
"('pizza.ply', 'tongs.ply')",0.2535288936626952,grasp,0.06058617,0,0.2535288936626952
"('wood_long_endPoint.ply', 'tongs.ply')",0.2546935764694758,grasp,0.06984099,0,0.2546935764694758
"('square_cardboard.ply', 'tongs.ply')",0.2558761364175706,grasp,0.07311889,0,0.2558761364175706
"('pizza.ply', 'coin.ply')",0.24999149389940073,None,inf,0,inf
"('tongs.ply', 'square_cardboard.ply')",0.25068148604162943,None,inf,0,inf
"('tongs.ply', 'gripper_sleeve.ply')",0.25080831994847497,None,inf,0,inf
"('gripper_sleeve.ply', 'tongs.ply')",0.2531376766736992,None,inf,0,inf
"('popcorn.ply', 'square_cardboard.ply')",0.25103620454704045,None,inf,0,inf
"('foam_triangle.ply', 'wood_wheel.ply')",0.2500183524813881,None,inf,0,inf
"('foam_triangle.ply', 'gripper_sleeve.ply')",0.2507674294582807,None,inf,0,inf
"('plastic_claw.ply', 'gripper_sleeve.ply')",0.25124224223188285,None,inf,0,inf
"('gripper_sleeve.ply', 'plastic_claw.ply')",0.24989853461263212,None,inf,0,inf
"('coin.ply', 'gripper_sleeve.ply')",0.2512490342203013,None,inf,0,inf
"('coin.ply', 'wood_wheel.ply')",0.25049851862340944,None,inf,0,inf
"('square_cardboard.ply', 'wood_long_endPoint.ply')",0.2544692819461151,None,inf,0,inf
"('coin.ply', 'plastic_claw.ply')",0.2502257573688926,None,inf,0,inf
"('square_cardboard.ply', 'coin.ply')",0.25230598639908614,None,inf,0,inf
"('tongs.ply', 'popcorn.ply')",0.24946273102805924,None,inf,0,inf
"('foam_triangle.ply', 'square_cardboard.ply')",0.25064061622977873,None,inf,0,inf
"('plastic_claw.ply', 'popcorn.ply')",0.2498943253144653,None,inf,0,inf
"('square_cardboard.ply', 'wood_wheel.ply')",0.2528773045603911,None,inf,0,inf
"('square_cardboard.ply', 'gripper_sleeve.ply')",0.2536349472092,None,inf,0,inf
"('square_cardboard.ply', 'pizza.ply')",0.2524283662433649,None,inf,0,inf
"('gripper_sleeve.ply', 'coin.ply')",0.24960573542388723,None,inf,0,inf
"('wood_wheel.ply', 'square_cardboard.ply')",0.25074991060835966,None,inf,0,inf
"('plastic_claw.ply', 'coin.ply')",0.2499258183816005,None,inf,0,inf
"('wood_wheel.ply', 'plastic_claw.ply')",0.2498550183890214,None,inf,0,inf
"('popcorn.ply', 'plastic_claw.ply')",0.25014029058369625,None,inf,0,inf
"('wood_wheel.ply', 'wood_long_endPoint.ply')",0.25170204085005377,None,inf,0,inf
"('wood_wheel.ply', 'popcorn.ply')",0.2495308229304788,None,inf,0,inf
"('coin.ply', 'square_cardboard.ply')",0.25112197744400344,None,inf,0,inf
"('foam_triangle.ply', 'pizza.ply')",0.24957448972120969,None,inf,0,inf
"('wood_wheel.ply', 'pizza.ply')",0.24968331920453143,None,inf,0,inf
"('pizza.ply', 'square_cardboard.ply')",0.2511811769509334,None,inf,0,inf
"('popcorn.ply', 'coin.ply')",0.2498472081361787,None,inf,0,inf
"('wood_long_endPoint.ply', 'plastic_claw.ply')",0.2514345251616403,None,inf,0,inf
"('tongs.ply', 'pizza.ply')",0.24961518568897048,None,inf,0,inf
"('square_cardboard.ply', 'foam_triangle.ply')",0.2525016547754516,None,inf,0,inf
"('popcorn.ply', 'gripper_sleeve.ply')",0.25116321792599056,None,inf,0,inf
"('foam_triangle.ply', 'plastic_claw.ply')",0.24974611406716582,None,inf,0,inf
"('tongs.ply', 'coin.ply')",0.2494941697032917,None,inf,0,inf
"('plastic_claw.ply', 'square_cardboard.ply')",0.2511151888902973,None,inf,0,inf
"('popcorn.ply', 'tongs.ply')",0.2533825662443084,None,inf,0,inf
"('popcorn.ply', 'wood_long_endPoint.ply')",0.2519894218843047,None,inf,0,inf
"('pizza.ply', 'foam_triangle.ply')",0.25018536734019614,None,inf,0,inf
"('popcorn.ply', 'pizza.ply')",0.24996839536150606,None,inf,0,inf
"('wood_long_endPoint.ply', 'coin.ply')",0.2511399262953288,None,inf,0,inf
"('wood_long_endPoint.ply', 'square_cardboard.ply')",0.252335074615043,None,inf,0,inf
"('foam_triangle.ply', 'wood_long_endPoint.ply')",0.2515923314664073,None,inf,0,inf
"('coin.ply', 'foam_triangle.ply')",0.25012640253014384,None,inf,0,inf
"('wood_long_endPoint.ply', 'gripper_sleeve.ply')",0.2524627451656407,None,inf,0,inf
"('gripper_sleeve.ply', 'square_cardboard.ply')",0.25079358269167723,None,inf,0,inf
"('gripper_sleeve.ply', 'wood_wheel.ply')",0.25017093917449496,None,inf,0,inf
"('wood_long_endPoint.ply', 'popcorn.ply')",0.2511082802388695,None,inf,0,inf
"('wood_wheel.ply', 'gripper_sleeve.ply')",0.2508767791350539,None,inf,0,inf
"('square_cardboard.ply', 'popcorn.ply')",0.25227419340779084,None,inf,0,inf
"('gripper_sleeve.ply', 'foam_triangle.ply')",0.24979930970121195,None,inf,0,inf
"('tongs.ply', 'wood_wheel.ply')",0.25005912082603565,None,inf,0,inf
