obj_combo,geoscore,att_type,att_score,total_score
"('yellow_foam.ply', 'screwdriver_large.ply')",0.8732569,pierce,0.005621085,0.005621085
"('red_bowl.ply', 'wood_wheel.ply')",0.8452755,None,inf,inf
"('wood_wheel.ply', 'screwdriver_large.ply')",1.019149,pierce,0.005621085,inf
"('wood_wheel.ply', 'red_bowl.ply')",0.7952715,None,inf,inf
"('screwdriver_large.ply', 'yellow_foam.ply')",0.8220191,None,inf,inf
"('screwdriver_large.ply', 'wood_wheel.ply')",0.8160714,None,inf,inf
"('yellow_foam.ply', 'wood_wheel.ply')",0.7131439,None,inf,inf
"('red_bowl.ply', 'screwdriver_large.ply')",1.026254,pierce,0.005621088,inf
"('red_bowl.ply', 'yellow_foam.ply')",0.9978818,None,inf,inf
"('yellow_foam.ply', 'red_bowl.ply')",0.6768701,None,inf,inf
"('screwdriver_large.ply', 'red_bowl.ply')",0.7591227,None,inf,inf
"('wood_wheel.ply', 'yellow_foam.ply')",0.9845425,None,inf,inf
