action_part,grasp_part,attachment,geo_score,att_score
tongs.ply,pliers.ply,None,5.416574e+01,Inf
tongs.ply,pliers.ply,None,5.416574e+01,Inf
tongs.ply,wood_short_midPoint.ply,None,5.425674e+01,Inf
tongs.ply,wood_short_midPoint.ply,None,5.425674e+01,Inf
tongs.ply,red_flat_piece_1mag.ply,None,5.481574e+01,Inf
tongs.ply,red_flat_piece_1mag.ply,None,5.481574e+01,Inf
wood_short_midPoint.ply,pliers.ply,grasp,5.831848e+01,2.110411e-01
red_flat_piece_1mag.ply,pliers.ply,grasp,5.841876e+01,2.933700e-01
wood_short_midPoint.ply,tongs.ply,grasp,5.843032e+01,2.457892e-01
pliers.ply,wood_short_midPoint.ply,None,5.855308e+01,Inf
pliers.ply,wood_short_midPoint.ply,None,5.855308e+01,Inf
pliers.ply,tongs.ply,grasp,5.858233e+01,2.863250e-01
red_flat_piece_1mag.ply,wood_short_midPoint.ply,magnetic,5.865077e+01,2.980672e-01
red_flat_piece_1mag.ply,tongs.ply,grasp,5.885030e+01,3.281181e-01
wood_short_midPoint.ply,red_flat_piece_1mag.ply,magnetic,5.904048e+01,3.024778e-01
pliers.ply,red_flat_piece_1mag.ply,None,5.906111e+01,Inf
pliers.ply,red_flat_piece_1mag.ply,None,5.906111e+01,Inf
