action_part,grasp_part,attachment,geo_score,att_score
red_flat_piece_1mag.ply,wooden_screw.ply,None,2.998933e-01,Inf
red_flat_piece_1mag.ply,wooden_screw.ply,None,2.998933e-01,Inf
red_flat_piece_1mag.ply,tongs.ply,grasp,3.648049e-01,1.130937e-01
red_foam.ply,tongs.ply,None,7.356542e-01,Inf
red_foam.ply,tongs.ply,None,7.356542e-01,Inf
red_flat_piece_1mag.ply,red_foam.ply,None,8.452015e-01,Inf
red_flat_piece_1mag.ply,red_foam.ply,None,8.452015e-01,Inf
wooden_screw.ply,tongs.ply,grasp,1.019290e+00,6.748517e-02
red_foam.ply,wooden_screw.ply,None,1.115532e+00,Inf
tongs.ply,wooden_screw.ply,None,1.342948e+00,Inf
wooden_screw.ply,red_foam.ply,None,1.458556e+00,Inf
tongs.ply,red_foam.ply,None,1.497382e+00,Inf
wooden_screw.ply,red_flat_piece_1mag.ply,None,1.696819e+00,Inf
wooden_screw.ply,red_flat_piece_1mag.ply,None,1.696819e+00,Inf
red_foam.ply,red_flat_piece_1mag.ply,None,1.911809e+00,Inf
red_foam.ply,red_flat_piece_1mag.ply,None,1.911809e+00,Inf
tongs.ply,red_flat_piece_1mag.ply,None,1.942555e+00,Inf
tongs.ply,red_flat_piece_1mag.ply,None,1.942555e+00,Inf
